"Booking ID",Date,Location,Description,"Sub total",Tax,Total
72018039,07/Dec/2024,"Barker Drive, NW1 0JF","Payment for booking #72018039",£105.60,Free,£105.60
77328055,05/Dec/2024,"Barker Drive, NW1 0JF","Payment for booking #77328055",£108.00,Free,£108.00
81701422,20/Dec/2024,"Barker Drive, NW1 0JF","Payment for booking #81701422",£44.00,Free,£44.00
82035536,30/Dec/2024,"Barker Drive, NW1 0JF","Payment for booking #82035536",£13.00,Free,£13.00
81994196,29/Dec/2024,"Barker Drive, NW1 0JF","Payment for booking #81994196",£44.00,Free,£44.00
78454324,30/Nov/2024,"Barker Drive, NW1 0JF","Payment for booking #78454324",£108.00,Free,£108.00
80438152,18/Nov/2024,"Barker Drive, NW1 0JF","Payment for booking #80438152",£44.00,Free,£44.00
81220024,08/Dec/2024,"Barker Drive, NW1 0JF","Payment for booking #81220024",£13.00,Free,£13.00
81218469,08/Dec/2024,"Barker Drive, NW1 0JF","Payment for booking #81218469",£44.00,Free,£44.00
76174946,09/Nov/2024,"Barker Drive, NW1 0JF","Payment for booking #76174946",£150.00,Free,£150.00
70688685,08/Nov/2024,"Barker Drive, NW1 0JF","Payment for booking #70688685",£123.74,Free,£123.74
80608603,22/Nov/2024,"Barker Drive, NW1 0JF","Payment for booking #80608603",£13.00,Free,£13.00
72018039,07/Nov/2024,"Barker Drive, NW1 0JF","Payment for booking #72018039",£105.60,Free,£105.60
77328055,05/Nov/2024,"Barker Drive, NW1 0JF","Payment for booking #77328055",£108.00,Free,£108.00
80885770,29/Nov/2024,"Barker Drive, NW1 0JF","Payment for booking #80885770",£13.00,Free,£13.00
79615904,28/Oct/2024,"Barker Drive, NW1 0JF","Payment for booking #79615904",£44.00,Free,£44.00
78454324,30/Dec/2024,"Barker Drive, NW1 0JF","Payment for booking #78454324",-£0.14,Free,-£0.14
80146146,10/Nov/2024,"Barker Drive, NW1 0JF","Payment for booking #80146146",£44.00,Free,£44.00
78454324,30/Oct/2024,"Barker Drive, NW1 0JF","Payment for booking #78454324",£108.00,Free,£108.00
80565197,21/Nov/2024,"Barker Drive, NW1 0JF","Payment for booking #80565197",£13.00,Free,£13.00
80532351,20/Nov/2024,"Barker Drive, NW1 0JF","Payment for booking #80532351",£13.00,Free,£13.00
80363709,16/Nov/2024,"Barker Drive, NW1 0JF","Payment for booking #80363709",£44.00,Free,£44.00
80262767,13/Nov/2024,"Barker Drive, NW1 0JF","Payment for booking #80262767",£13.00,Free,£13.00
80260051,13/Nov/2024,"Barker Drive, NW1 0JF","Payment for booking #80260051",£13.00,Free,£13.00
76174946,09/Oct/2024,"Barker Drive, NW1 0JF","Payment for booking #76174946",£150.00,Free,£150.00
70688685,08/Oct/2024,"Barker Drive, NW1 0JF","Payment for booking #70688685",£123.74,Free,£123.74
72018039,07/Oct/2024,"Barker Drive, NW1 0JF","Payment for booking #72018039",£105.60,Free,£105.60
79799369,01/Nov/2024,"Barker Drive, NW1 0JF","Payment for booking #79799369",£13.00,Free,£13.00
79797046,01/Nov/2024,"Barker Drive, NW1 0JF","Payment for booking #79797046",£44.00,Free,£44.00
78963440,13/Oct/2024,"Barker Drive, NW1 0JF","Payment for booking #78963440",£44.00,Free,£44.00
77328055,05/Oct/2024,"Barker Drive, NW1 0JF","Payment for booking #77328055",£108.00,Free,£108.00
79630862,29/Oct/2024,"Barker Drive, NW1 0JF","Payment for booking #79630862",£13.00,Free,£13.00
79573175,27/Oct/2024,"Barker Drive, NW1 0JF","Payment for booking #79573175",£13.00,Free,£13.00
79664973,30/Oct/2024,"Barker Drive, NW1 0JF","Payment for booking #79664973",£13.00,Free,£13.00
79656305,29/Oct/2024,"Barker Drive, NW1 0JF","Payment for booking #79656305",£44.00,Free,£44.00
78454324,30/Dec/2024,"Barker Drive, NW1 0JF","Payment for booking #78454324",-£108.00,Free,-£108.00
79469369,25/Oct/2024,"Barker Drive, NW1 0JF","Payment for booking #79469369",-£44.00,Free,-£44.00
79469369,25/Oct/2024,"Barker Drive, NW1 0JF","Payment for booking #79469369",£44.00,Free,£44.00
78454324,30/Sep/2024,"Barker Drive, NW1 0JF","Payment for booking #78454324",£108.00,Free,£108.00
